平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,类型可选值列表,阶段可选值列表,平台
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
单元测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段",主干(#0)
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏华语歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择华语歌单点击播放
3.添加收藏华语歌单","1. 成功进入网易云首页
2. 选择分类，成功播放华语歌单音乐
3.成功添加收藏华语歌单",添加收藏华语歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏流行歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择流行歌单点击播放
3.添加收藏流行歌单","1. 成功进入网易云首页
2. 选择流行歌单，成功播放音乐
3.成功添加收藏流行歌单",添加收藏流行歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏民谣歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择民谣歌单点击播放
3.添加收藏民谣歌单","1. 成功进入网易云首页
2. 选择分类，成功播放民谣歌单音乐
3.成功添加收藏民谣歌单",添加收藏民谣歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏粤语歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择粤语歌单点击播放
3.添加收藏粤语歌单","1. 成功进入网易云首页
2. 选择粤语歌单，成功播放音乐
3.成功添加收藏粤语歌单",添加收藏粤语歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏欧美歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择欧美歌单点击播放
3.添加收藏欧美歌单","1. 成功进入网易云首页
2. 选择分类，成功播放欧美歌单音乐
3.成功添加收藏欧美歌单",添加收藏欧美歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏日语歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择日语歌单点击播放
3.添加收藏日语歌单","1. 成功进入网易云首页
2. 选择日语歌单，成功播放音乐
3.成功添加收藏日语歌单",添加收藏日语歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏韩语歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择韩语歌单点击播放
3.添加收藏韩语歌单","1. 成功进入网易云首页
2. 选择分类，成功播放韩语歌单音乐
3.成功添加收藏韩语歌单",添加收藏韩语歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏轻音乐歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择轻音乐歌单点击播放
3.添加收藏轻音乐歌单","1. 成功进入网易云首页
2. 选择轻音乐歌单，成功播放音乐
3.成功添加收藏轻音乐歌单",添加收藏轻音乐歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏说唱歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择说唱歌单点击播放
3.添加收藏说唱歌单","1. 成功进入网易云首页
2. 选择分类，成功播放说唱歌单音乐
3.成功添加收藏说唱歌单",添加收藏说唱歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏爵士歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择爵士歌单点击播放
3.添加收藏爵士歌单","1. 成功进入网易云首页
2. 选择爵士歌单，成功播放音乐
3.成功添加收藏爵士歌单",添加收藏爵士歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏古典歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择古典歌单点击播放
3.添加收藏古典歌单","1. 成功进入网易云首页
2. 选择分类，成功播放古典歌单音乐
3.成功添加收藏古典歌单",添加收藏古典歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏民族歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择民族歌单点击播放
3.添加收藏民族歌单","1. 成功进入网易云首页
2. 选择民族歌单，成功播放音乐
3.成功添加收藏民族歌单",添加收藏民族歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏古风歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择古风歌单点击播放
3.添加收藏古风歌单","1. 成功进入网易云首页
2. 选择古风歌单，成功播放音乐
3.成功添加收藏古风歌单",添加收藏古风歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏学习歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择学习歌单点击播放
3.添加收藏学习歌单","1. 成功进入网易云首页
2. 选择学习歌单，成功播放音乐
3.成功添加收藏学习歌单",添加收藏学习歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏运动歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择运动歌单点击播放
3.添加收藏运动歌单","1. 成功进入网易云首页
2. 选择运动歌单，成功播放音乐
3.成功添加收藏运动歌单",添加收藏运动歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏浪漫歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择浪漫歌单点击播放
3.添加收藏浪漫歌单","1. 成功进入网易云首页
2. 选择浪漫歌单，成功播放音乐
3.成功添加收藏浪漫歌单",添加收藏浪漫歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏安静歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择安静歌单点击播放
3.添加收藏安静歌单","1. 成功进入网易云首页
2. 选择安静歌单，成功播放音乐
3.成功添加收藏安静歌单",添加收藏安静歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并私信分享,用户存在，在有网络的情况下，至少有一名好友存在,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击私信分享，选择选择好友","1.  成功进入网易云首页
2. 成功播放热门歌单
3.私信分享成功",播放歌单，私信分享,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并私信分享,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击私信分享，选择选择好友","1.  成功进入网易云首页
2. 成功播放热门歌单
3.私信分享失败",播放歌单，私信分享,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并分享给大家,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击，分享给大家","1.  成功进入网易云首页
2. 成功播放热门歌单
3.分享成功",播放歌单，分享给大家,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并下载歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.使用云音乐客户端下载","1.  成功进入网易云首页
2. 成功播放热门歌单
3.下载歌单失败",下载歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并下载歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击下载PC版 V2.9.6","1.  成功进入网易云首页
2. 成功播放热门歌单
3.PC版为安装，下载歌单失败",下载歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并下载歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击下载的PC版并安装；下载歌单","1.  成功进入网易云首页
2. 成功播放热门歌单
3.成功下载歌单",下载歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，并下载歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.扫描下载手机版并下载歌单","1.  成功进入网易云首页
2. 成功播放热门歌单
3.成功下载歌单",下载歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论，不输入字符","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论歌单失败",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论，输入空格","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论歌单失败",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论，输入：好听","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论成功",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论，输入：字符长度超过140","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论歌单失败",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论@好友","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论成功",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_播放热门歌单，评论歌单,用户存在，在有网络的情况下,"1.  用户登录网易云系统
2. 点击热门推荐，选择任意歌单播放
3.点击评论输入：Happy","1.  成功进入网易云首页
2. 成功播放热门歌单
3.评论成功",评论歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放每日歌曲推荐,用户存在，在有网络的情况下，无听歌记录,"1.  用户登录网易云系统
2. 点击个性化推荐，点击每日歌曲推荐
3.","1.  成功进入网易云首页
2. 进入每日歌曲推荐界面失败
3.",播放每日歌曲推荐,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/推荐(#10),网易云系统_发现音乐_推荐_播放每日歌曲推荐,用户存在，在有网络的情况下，有过听歌记录,"1.  用户登录网易云系统
2. 点击个性化推荐，点击每日歌曲推荐
3.点击播放全部","1.  成功进入网易云首页
2. 进入每日歌曲推荐界面
3.歌曲播放成功",播放每日歌曲推荐,①,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放飙升榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面
3.成功播放飙升榜歌曲",飙升榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放新歌榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击新歌榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜和全球媒体榜界面
3.成功播放新歌榜歌曲",新歌榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放原创榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击原创榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放原创榜歌曲",原创榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放热歌榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击热歌榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放热歌榜歌曲",热歌榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放黑胶VIP爱听榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击并播放黑胶VIP爱听榜","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面全球媒体榜界面
3.播放黑胶VIP爱听榜歌曲失败",黑胶VIP爱听榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放黑胶VIP爱听榜歌单,用户存在，且在有网络和开通黑胶VIP的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击并播放黑胶VIP爱听榜","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放黑胶VIP爱听榜歌曲",黑胶VIP爱听榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐说唱榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击云音乐说唱榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐说唱榜歌曲",云音乐说唱榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐古典榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击云音乐古典榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐古典榜歌曲",云音乐古典榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐电竞榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐电竞榜歌曲",云音乐电竞榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐ACG榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐ACG榜歌曲",云音乐ACG榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐韩语榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐韩语榜歌曲",云音乐韩语榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放飙升榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放云音乐国电榜歌曲",飙升榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放云音乐国电榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击飙升榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放飙升榜歌曲",云音乐国电榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放UK排行榜周榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击UK排行榜周榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放UK排行榜周榜歌曲",UK排行榜周榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放中文DJ榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击中文DJ榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放中文DJ榜歌曲",中文DJ榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放泰语榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击泰语榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放泰语榜歌曲",泰语榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放俄语榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击俄语榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放俄语榜歌曲",俄语榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放网络热歌榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击网络热歌榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放网络热歌榜歌曲",网络热歌榜,②,功能测试,功能测试阶段,,,
,/主干/发现音乐/排行榜(#11),网易云系统_发现音乐_排行榜_播放俄罗斯top hit流行音乐榜歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云
2. 点击排行榜
3.点击俄罗斯top hit流行音乐榜并播放","1. 成功进入网易云首页
2.成功进入云音乐特色榜界面和全球媒体榜界面
3.成功播放俄罗斯top hit流行音乐榜歌曲",俄罗斯top hit流行音乐,②,功能测试,功能测试阶段,,,
