平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表,平台
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买音乐包，是否享有免费下载功能,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
12进入vip会员，购买音乐包，然后进入网易云首页，听一首歌曲，点击下载","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 13.听一首歌，成功免费下载",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买音乐包，是否享有无损音质,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
13进入vip会员，购买音乐包，然后进入网易云首页，点击歌曲，点击无损音质","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 14.点击歌曲，成功用到无损音质",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买音乐包，是否有享有大量独特铃声,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入vip会员，购买音乐包，然后进入网易云首页，点击铃声，并进行下载","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 12.点击铃声，下载成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/听歌排行(#36),网易云官网-账户信息-我的主页-统计每首歌的听歌次数是否正确,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
4查看听歌次数排行第一的歌，一共听了32次，再点击听一次","1.  进入网易云官网
2. 进入‘我的主页’主页
4.查看听歌排行，排行第一的歌曲听歌次数变成了33次",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页(#28),网易云官网-账户信息-我的主页-编辑个人资料,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
3点击‘编辑个人资料’，进行编辑","1.  进入网易云官网
2. 进入‘我的主页’主页
3.页面成功跳转到‘个人设置’的基本设置，编辑成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),网易云官网-账户信息-我的主页-创建古风音乐电台，并进行推送,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
4添加有关古风音乐进入‘古风电台’，并进行推送","1.  进入网易云官网
2. 进入‘我的主页’主页
4.创建‘古风音乐电台’成功，其他用户能够看到",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/听歌排行(#36),网易云官网-账户信息-我的主页-测试累积听歌首数，原有1200首,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
5搜索一首未听过的歌，并查看累积听歌首数是否增加到1201首","1.  进入网易云官网
2. 进入‘我的主页’主页
5.用户听一首新歌，累积歌曲成功加到1201首",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),网易云官网-账户信息-我的主页-创建有关‘李荣浩’歌单,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
5添加全部‘李荣浩’的歌曲进入歌单","1.  进入网易云官网
2. 进入‘我的主页’主页
5.创建‘李荣浩’歌单成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),网易云官网-账户信息-我的主页-查看关于我的收藏歌单,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
6进入我的收藏歌单，查看收藏歌单是否能看到","1.  进入网易云官网
2. 进入‘我的主页’主页
6.查看收藏歌单成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，是否有享有大量独特铃声,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入vip会员，购买黑胶会员，然后进入网易云首页，点击铃声，并进行下载","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 12.点击铃声，下载成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，选择会员歌曲，并点击下载，是否成功,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入vip会员，购买黑胶会员，然后进入网易云首页，选择会员歌曲，并点击下载","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 12.点击vip歌曲下载成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/私信(#40),网易云官网-账户信息-我的主页-我的消息-删除私信,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
7进入我的消息主页，点击私信，然后选择第一条私信，并选择删除","1.  进入网易云官网
2. 进入‘我的消息’主页
7.进入‘我的消息’主页，删除私信成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/评论(#41),网易云官网-账户信息-我的主页-我的消息-评论-评论歌曲，查看有无相关记录,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
8先在某一首歌下面评论，然后进入我的消息主页，查看是否有评论记录","1.  进入网易云官网
2. 进入‘我的消息’主页
8.成功查看有相关的评论记录",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/通知(#42),网易云官网-账户信息-我的主页-我的消息-通知-其他用户点赞了我的评论，点击是否能够跳转到具体评论下面,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
9进入我的消息主页，点击通知里那天被赞记录，查看是否能跳转到具体评论下","1.  进入网易云官网
2. 进入‘我的消息’主页
9.成功跳转到具体评论下",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/一键已读(#43),网易云官网-账户信息-我的主页-我的消息-一键已读-我的消息全部为已读，点击一键已读是否成功,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
10进入我的消息主页，在全部信息已读了状态，点击一键已读","1.  进入网易云官网
2. 进入‘我的消息’主页
10.无法点击一键已读",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的等级(#30),网易云官网-账户信息-我的主页-我的消息-一键已读-数据是否在每天下午两点钟更新,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入我的消息主页，在今天早上9：00看关于我的等级相关数据，并等到下午2：00，查看数据是否更新","1.  进入网易云官网
2. 进入‘我的消息’主页
11.下午两点数据成功更新",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，是否享有会员曲库,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入vip会员，购买黑胶会员，然后进入网易云首页，点击会员曲库，并进行听歌","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 12.点击会员曲库，成功进行听歌",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-解绑网易邮箱,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
14.点击网易邮箱解绑，进行相关操作","1.  进入网易云官网
2. 进入‘我的主页’主页
14.解绑网易邮箱成功。",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-解绑微信,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
14.点击微信解绑，进行相关操作","1.  进入网易云官网
2. 进入‘我的主页’主页
14.解绑微信成功。",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-解绑QQ,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
14.点击QQ解绑，进行相关操作","1.  进入网易云官网
2. 进入‘我的主页’主页
14.解绑QQ成功。",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#47),网易云官网-账户信息-个人设置-隐私设置-设置歌单被收藏时收到通知,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
7.点击‘隐私设置’，设置歌单被收藏时收到通知","1. 进入网易云官网
2. 进入‘隐私设置’主页
7.设置歌单被收藏时收到通知成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-解绑新浪,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
14.点击新浪解绑，进行相关操作","1.  进入网易云官网
2. 进入‘我的主页’主页
14.解绑新浪成功。",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/真实姓名(#48),网易云官网-账户信息-实名认证-已经认证成功的情况下修改名字,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
16.在已认证的实名认证中修改名字","1. 进入网易云官网
2. 进入‘实名认证’主页
11.修改名字失败，审核后不得修改",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/手机号(#49),网易云官网-账户信息-实名认证-已经认证成功的情况下修改手机号,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
17.在已认证的实名认证中修改手机号","1. 进入网易云官网
2. 进入‘实名认证’主页
12.修改手机号成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/验证码(#50),网易云官网-账户信息-实名认证-已经认证成功的情况修改手机号下获得验证码,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
18.在已认证的实名认证中修改手机号，并获取验证码","1. 进入网易云官网
2. 进入‘实名认证’主页
13.获得验证码成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/地区(#51),网易云官网-账户信息-实名认证-已经认证成功的情况下修改地区,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
19.在已认证的实名认证中修改所在地区","1. 进入网易云官网
2. 进入‘实名认证’主页
14.修改所在地区失败，审核后不得修改",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/证件号(#52),网易云官网-账户信息-实名认证-已经认证成功的情况下修改证件号,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
20.在已认证的实名认证中修改证件号","1. 进入网易云官网
2. 进入‘实名认证’主页
15.修改证件号失败，审核后不得修改",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，是否享有历史日推,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
11进入vip会员，购买黑胶会员，然后进入网易云首页，查看是否有‘历史日推’这个频道","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 12.成功查看到有‘历史日推’这个频道",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，是否享有歌词图片功能,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
12进入vip会员，购买黑胶会员，然后进入网易云首页，听一首歌曲，查看歌词图片功能","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 13.听一首歌，成功有歌词图片功能",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，是否享有无损音质,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
13进入vip会员，购买黑胶会员，然后进入网易云首页，点击歌曲，点击无损音质","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 14.点击歌曲，成功用到无损音质",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，是否享有不用看广告特权,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
14进入vip会员，购买黑胶会员，然后进入网易云首页，点击视频，","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 15.点击视频，观看视频，成功跳过广告",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，是否享有鲸鱼音效,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
15进入vip会员，购买黑胶会员，然后进入网易云首页，点击歌曲，点击鲸鱼音效","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 16.点击歌曲，成功变成鲸鱼音效",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，是否享有头像挂件,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
16进入vip会员，购买黑胶会员，然后进入个人设置，点击头像，选择挂件","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 17.头像挂件设置成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买黑胶会员，是否享有个性皮肤,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
17进入vip会员，购买黑胶会员，然后进入网易云首页，编辑个性皮肤","1.  进入网易云官网
2. 进入‘会员vip’主页 3.进入网易云首页 18.个性皮肤由红色到绿色，编辑个性皮肤成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-vip会员-购买音乐包用微信支付支付,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘vip会员’
4.选择音乐包套餐，并且购买，并打开微信扫码支付","1. 进入网易云官网
2. 进入‘vip会员’主页
4.用微信扫码购买音乐包成功，并成为会员",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#32),网易云官网-账户信息-vip会员-购买音乐包用支付宝支付,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘vip会员’
5.选择音乐包套餐，并且购买，并打开支付宝扫码支付","1. 进入网易云官网
2. 进入‘vip会员’主页
5.用支付宝扫码购买音乐包成功，并成为会员",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信-vip会员-使用有效兑换码兑换音乐包,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘vip会员’
3.点击使用兑换码，填入正确兑换码，兑换音乐包","1. 进入网易云官网
2. 进入‘vip会员’主页
3.输入的兑换码有效，兑换音乐包会员成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#32),网易云官网-账户信-vip会员-使用无效223344兑换码兑换音乐包,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘vip会员’
4.点击使用兑换码，填入错误223344兑换码，兑换音乐包","1. 进入网易云官网
2. 进入‘vip会员’主页
4.输入的兑换码无效，兑换音乐包会员失败",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#33),网易云官网-账户信-vip会员-使用无效666666兑换码兑换黑胶vip，兑换失败,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘vip会员’
4.点击使用兑换码，填入错误666666兑换码，兑换黑胶vip","1. 进入网易云官网
2. 进入‘vip会员’主页
5.输入的兑换码无效，兑换黑胶vip会员失败",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#47),网易云官网-账户信息-个人设置-隐私设置-设置视频被收藏时收到通知,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
7.点击‘隐私设置’，设置视频被收藏时收到通知","1. 进入网易云官网
2. 进入‘隐私设置’主页
7.设置视频被收藏时收到通知成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#48),网易云官网-账户信息-个人设置-隐私设置-设置电台被订阅时收到通知,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
8.点击‘隐私设置’，设置电台被订阅时收到通知","1. 进入网易云官网
2. 进入‘隐私设置’主页
8.设置电台被订阅时收到通知成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#49),网易云官网-账户信息-个人设置-隐私设置-设置收到赞收到通知,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
9.点击‘隐私设置’，设置收到赞收到通知","1. 进入网易云官网
2. 进入‘隐私设置’主页
9.设置收到赞收到通知成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#50),网易云官网-账户信息-个人设置-隐私设置-设置获得新粉丝收到通知,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
10.点击‘隐私设置’，设置获得新粉丝收到通知","1. 进入网易云官网
2. 进入‘隐私设置’主页
10.设置获得新粉丝收到通知成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#51),网易云官网-账户信息-个人设置-隐私设置-设置关闭个性化服务,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
11.点击‘隐私设置’，设置关闭个性化服务","1. 进入网易云官网
2. 进入‘隐私设置’主页
11.关闭个性化服务成功，将不会使用用户信息提供个性化服务",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#52),网易云官网-账户信息-个人设置-隐私设置-设置听歌排行仅自己可见,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
12.点击‘隐私设置’，设置听歌排行榜仅自己可见","1. 进入网易云官网
2. 进入‘隐私设置’主页
12.设置听歌排行榜仅自己可见成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#47),网易云官网-账户信息-个人设置-隐私设置-私信所有人都可以,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘个人设置’
15.点击隐私设置，并在私信设置中设置接受所有人的私信","1.  进入网易云官网
2. 进入‘隐私设置’主页
15.设置私信接受所有人的成功。",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#54),网易云官网-账户信息-个人设置-隐私设置-设置关闭个性化服务,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
14.点击‘隐私设置’，设置关闭个性化服务","1. 进入网易云官网
2. 进入‘隐私设置’主页
14.关闭个性化服务成功，将不会使用用户信息提供个性化服务",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/基本设置(#45),网易云官网-账户信息-个人设置-简介里打字数为500字，设置不成功,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
15.点击简介编写，字数为500字","1. 进入网易云官网
2. 进入‘隐私设置’主页
15.简介字数不能超过300字，设置简介失败",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/基本设置(#45),网易云官网-账户信息-个人设置-简介里打字数为200字，设置成功,用户存在，且有网络,"1. 用户登录网易云
2.  点击头像下拉框的‘个人设置’
15.点击简介编写，字数为200字","1. 进入网易云官网
2. 进入‘隐私设置’主页
15.设置简介成功",,③,功能性测试,功能测试阶段,,,,
