平台,所属模块,用例标题,前置条件,步骤,预期输出,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表,平台,审核人
,/主干/下载客户端(#6),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/搜索(#7),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/登录(#9),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/注册(#26),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息(#27),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页(#28),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/听歌排行(#36),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息(#29),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/@我的(#39),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/私信(#40),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/评论(#41),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/通知(#42),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/一键已读(#43),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的等级(#30),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的等级/了解等级特权(#44),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/vip会员(#31),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置(#32),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/基本设置(#45),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/绑定设置(#46),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/隐私设置(#47),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证(#33),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/真实姓名(#48),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/手机号(#49),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/验证码(#50),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/地区(#51),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/证件号(#52),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/退出(#34),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐(#1),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/推荐(#10),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/排行榜(#11),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/歌单(#12),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/主播电台(#13),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/歌手(#14),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/新碟上架(#15),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐(#2),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我的歌手(#16),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我的电台(#17),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我创建的歌单(#18),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/收藏的歌单(#19),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/关注(#3),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/关注/发动态(#20),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/关注/发布视频(#21),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/商城(#4),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/商城/搜索(#22),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/商城/购物车(#23),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人(#5),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人/立即入驻(#24),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人/校园入驻(#25),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/下载客户端(#6),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/搜索(#7),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/登录(#9),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/注册(#26),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息(#27),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页(#28),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/听歌排行(#36),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息(#29),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/@我的(#39),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/私信(#40),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/评论(#41),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/通知(#42),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/一键已读(#43),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的等级(#30),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的等级/了解等级特权(#44),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/vip会员(#31),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置(#32),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/基本设置(#45),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/绑定设置(#46),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/隐私设置(#47),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证(#33),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/真实姓名(#48),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/手机号(#49),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/验证码(#50),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/地区(#51),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/证件号(#52),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/退出(#34),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐(#1),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/推荐(#10),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/排行榜(#11),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/歌单(#12),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/主播电台(#13),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/歌手(#14),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/新碟上架(#15),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐(#2),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我的歌手(#16),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我的电台(#17),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我创建的歌单(#18),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/收藏的歌单(#19),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/关注(#3),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/关注/发动态(#20),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/关注/发布视频(#21),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/商城(#4),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/商城/搜索(#22),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/商城/购物车(#23),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人(#5),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人/立即入驻(#24),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人/校园入驻(#25),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/下载客户端(#6),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/搜索(#7),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/登录(#9),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/注册(#26),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息(#27),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页(#28),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/听歌排行(#36),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息(#29),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/@我的(#39),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/私信(#40),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/评论(#41),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/通知(#42),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/一键已读(#43),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的等级(#30),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的等级/了解等级特权(#44),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/vip会员(#31),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置(#32),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/基本设置(#45),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/绑定设置(#46),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/隐私设置(#47),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证(#33),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/真实姓名(#48),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/手机号(#49),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/验证码(#50),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/地区(#51),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/证件号(#52),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/退出(#34),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐(#1),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/推荐(#10),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/排行榜(#11),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/歌单(#12),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/主播电台(#13),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/歌手(#14),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/发现音乐/新碟上架(#15),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐(#2),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我的歌手(#16),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我的电台(#17),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/我创建的歌单(#18),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/我的音乐/收藏的歌单(#19),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/关注(#3),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/关注/发动态(#20),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/关注/发布视频(#21),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/商城(#4),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/商城/搜索(#22),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/商城/购物车(#23),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人(#5),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人/立即入驻(#24),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/音乐人/校园入驻(#25),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/下载客户端(#6),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/搜索(#7),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/登录(#9),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/注册(#26),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息(#27),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页(#28),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/听歌排行(#36),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息(#29),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/@我的(#39),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/私信(#40),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/评论(#41),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/通知(#42),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的消息/一键已读(#43),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的等级(#30),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/我的等级/了解等级特权(#44),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/vip会员(#31),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置(#32),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/基本设置(#45),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/绑定设置(#46),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/个人设置/隐私设置(#47),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证(#33),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/真实姓名(#48),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/手机号(#49),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/验证码(#50),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/地区(#51),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/实名认证/证件号(#52),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
,/主干/账户信息/退出(#34),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,,,
